App Annie Intelligence
Report,Usage & Engagement: Reviews
App ID,com.amazon.kindle
App,Amazon Kindle
Version,All Versions
Market,Google Play
Language,English
Total Reviews,1690
Average Rating,3.8
Search Term,
Start Date,2019-05-01
End Date,2019-05-31
Date Generated,2019-06-15 15:29:32 PDT

Platform,Language,Date,App ID,App Name,Publisher ID,Publisher Name,User,Version,Rating,Title,Review
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.17.0.49,4,,great app
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,3,,c🐵🐈🦁🦓🐯🐯🦌🐅🎶📻🎧🎧🎤🎵📢📣🎶🎶🖥️🔌💽📠☎️🔬🔎🔍🔎🔖📑🗞️📬📨📧📈📇🗂️🔒⛏️🏹🗝️⛓️⚱️⚰️⚰️🚺🛃🛂🚾🚾⬆️⬅️↙️↪️🔞↖️🔃⤵️🛐✝️☸️🔜🔛🛐✝️☯️☯️☯️🔜♐🔀🔀♏♐▶️⏪⛎⏏️⏺️📳🔱📶⏸️🔆⏏️📴⚜️📳📳♀️📴📛🔱🔱📳⏹️🔆♻️🔅♂️♀️♂️⭕⭕♂️♀️📛📳📳⚜️📳💯💯💯💯💯
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.13.1.65,5,,Great app!
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,1,,"App constantly crashes on my Samsung tablet, same as other reviewers."
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.15.0.68,2,,ew wh we hi uh huh(+÷% in 4e ref creed
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,5,,I'm disabled so it's awesome for me love it customer service that's out of united states needs better car training and those jobs could be used in USA makes me feel like canceling because jobs should be here period.....
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,4,,The new app works well for me with the exception that you now have to scroll down instead of swiping to go to the next page. It causes me to lose my location too often.
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,3,,i used to love it bur now it keeps crashing disappearing from my devices - a constant problem since the last update
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,1,,"why it is not installing? It says,""Can't install Kindle"" everytime when I try to download.. can anyone help me?"
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,4,,phadu hai bai
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,3,,won't sync across devices
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,5,,good
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,5,,rings wala Kanna bhaija😁😂🤣😃😄😅😍😘
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,5,,greatest ever
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,5,,⚃ few ☝vjjuk*9
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,5,,nice
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,5,,"it is fabulous, amazing, marvellous, awesome,wonderful app.it is very very very very proud to use this app"
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.17.0.49,4,,pleasant.
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,5,,very nice...
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,1,,"Poor , no my books"
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,5,,great
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,2,,don't know what u did but Kindle has acted up since on my Samsung tablet locking up stopping slow it's getting to be a pain been this way shortly after last update not sure if That did it but it's the only change I know of at that time
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.16.0.57,5,,s photo 8Wii Washingwet y et 7we were 2on 43
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.17.0.49,1,,why is it impossible for me to change the language into English is it just French ?! I couldn't even read one of them I uninstalled it right away
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,5,,It's the best app that l have ever installed...it provides me any book anywhere whenever l need it. Thank you.
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,5,,used 5 plus years never wanted another app
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.19.0.17,5,,Beautiful
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.15.0.68,3,,udikd
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,5,,fantastic
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,3,,Not able to download full books only samples
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,4,,Very interesting and informative
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,3,,ok app but it consumes a lot of battery so set the App screen on black. also has no reset settings to factory default
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,5,,thaks
