,kw
0,accessible
1,audible
2,audiobooks
3,background
4,battery
5,bookmark
6,bookshelf
7,borrow
8,brightness
9,buy
10,choice
11,bug
12,collection
13,color
14,connection
15,continuous
16,cost
17,crash
18,dark
19,delete
20,design
21,dictionary
22,difficult
23,disappear
24,discover
25,display
26,download
27,expensive
28,filter
29,find
30,flip
31,folders
32,font
33,format
34,freeze
35,genre
36,gift
37,glitch
38,goodreads
39,green
40,highlight
41,home
42,ibooks
43,kids
44,ku
45,layout
46,library
47,light
48,list
49,magazines
50,membership
51,navigate
52,nook
53,note
54,notification
55,option
56,ordering
57,organize
58,overdrive
59,pay
60,pdf
61,prices
62,prime
63,purchase
64,recommendation
65,recommended
66,remove
67,return
68,sample
69,screen
70,scroll
71,search
72,series
73,settings
74,sort
75,storage
76,stores
77,student
78,subscription
79,suggestion
80,swipe
81,sync
82,text
83,textbooks
84,install
85,unlimited
86,unread
87,update
88,upgrade
89,vision
90,voice
91,wifi
92,wikipedia
93,comics
94,interface
95,menu
96,mode
97,notes
98,password
99,payment
100,price
101,refund
102,school
103,sd
104,share
105,store
106,students
107,ui
108,updating
109,website
