week_start,month_start,device_family,count_uniq_reading_device_family,count_uniq_cid,count_rows,log_total_positions_consumed
5/21/2018,5/1/2018,Fire tablet,1,1132736,5352792,11.88
5/14/2018,5/1/2018,Fire tablet,1,1124336,5317075,11.87
1/7/2019,1/1/2019,K4Mac,1,89238,197724,10.51
12/3/2018,12/1/2018,Other,0,11071,42516,9.24
2/25/2019,2/1/2019,Android Tablet,0,98240,297238,10.63
7/16/2018,7/1/2018,Kindle Lite,0,110,201,7.03
8/6/2018,8/1/2018,Kindle Web Reader,1,4,9,4.75
7/30/2018,7/1/2018,E-reader,0,782653,1493675,11.26
10/29/2018,10/1/2018,K4PC,1,92562,190876,10.48
10/15/2018,10/1/2018,Android Tablet,0,119925,508488,10.87
6/25/2018,7/1/2018,Android Tablet,1,138804,180456,10.45
8/20/2018,8/1/2018,Kindle Lite,1,108,277,7.65
9/3/2018,9/1/2018,E-reader,0,1174142,5111104,11.78
10/8/2018,10/1/2018,Android Phone,1,777544,2875039,11.56
1/28/2019,1/1/2019,Android Tablet,1,226819,682864,10.98
10/1/2018,10/1/2018,Audible WfV,0,4264,6019,9.11
4/29/2019,4/1/2019,iPad,0,172961,313277,10.56
7/16/2018,7/1/2018,K4PC,0,25039,76130,10.12
3/18/2019,3/1/2019,Android Tablet,1,262151,1112278,11.19
2/4/2019,2/1/2019,Audible WfV,0,8877,22515,9.33
1/14/2019,1/1/2019,Kindle Web Reader,1,5,7,4.55
5/28/2018,6/1/2018,Fire tablet,1,871199,2327249,11.54
8/6/2018,8/1/2018,KCR,1,177727,440376,10.77
1/7/2019,1/1/2019,Android Phone,0,412809,1627672,11.37
5/27/2019,5/1/2019,K4PC,1,96217,257379,10.6
1/7/2019,1/1/2019,Other,0,14181,55505,9.3
3/4/2019,3/1/2019,Android Tablet,0,119176,514149,10.89
2/4/2019,2/1/2019,iPhone,1,1217000,4213278,11.66
9/17/2018,9/1/2018,Kindle Web Reader,1,7,11,5.21
