week_start,month_start,device_family,count_uniq_reading_device_family,count_uniq_cid,count_rows,log_total_positions_consumed
12/24/2018,12/1/2018,E-reader,0,41962,109833,10.15
12/24/2018,12/1/2018,Fire tablet,0,40056,98388,10.1
9/3/2018,9/1/2018,iPhone,0,21345,52065,9.71
3/25/2019,3/1/2019,KCR,0,19312,48969,10.39
11/5/2018,11/1/2018,KCR,0,18664,30412,9.68
1/7/2019,1/1/2019,iPhone,0,18600,43059,9.67
1/14/2019,1/1/2019,iPhone,0,18160,41789,9.67
7/16/2018,7/1/2018,E-reader,0,18010,40240,9.7
4/1/2019,4/1/2019,KCR,0,17468,42515,10.06
1/21/2019,1/1/2019,iPhone,0,17264,39848,9.65
12/31/2018,1/1/2019,iPhone,0,17057,42348,9.8
9/10/2018,9/1/2018,KCR,0,16771,28954,9.7
4/8/2019,4/1/2019,KCR,0,16355,46814,10.03
1/21/2019,1/1/2019,KCR,0,16083,38716,10
9/10/2018,9/1/2018,iPhone,0,16042,39006,9.6
11/12/2018,11/1/2018,E-reader,0,15961,22548,9.35
12/24/2018,12/1/2018,iPhone,0,15898,38709,9.64
9/24/2018,9/1/2018,KCR,0,15893,26565,9.81
3/18/2019,3/1/2019,KCR,0,15880,46054,10.11
2/18/2019,2/1/2019,iPhone,0,15782,37086,9.6
2/4/2019,2/1/2019,iPhone,0,15503,36350,9.61
8/20/2018,8/1/2018,iPhone,0,15489,36478,9.57
9/17/2018,9/1/2018,iPhone,0,15417,37086,9.6
9/3/2018,9/1/2018,Android Phone,0,15327,40049,9.72
4/22/2019,4/1/2019,KCR,0,14994,57307,10.16
11/19/2018,11/1/2018,KCR,0,14685,29973,9.82
8/6/2018,8/1/2018,iPhone,0,14663,36976,9.56
7/16/2018,7/1/2018,iPhone,0,14601,36675,9.57
2/11/2019,2/1/2019,iPhone,0,14364,33284,9.57
10/15/2018,10/1/2018,iPhone,0,14320,34380,9.54
7/9/2018,7/1/2018,iPhone,0,14262,35153,9.55
9/24/2018,9/1/2018,iPhone,0,14238,34696,9.55
7/23/2018,7/1/2018,iPhone,0,14054,35162,9.55
8/13/2018,8/1/2018,iPhone,0,14037,34596,9.52
1/7/2019,1/1/2019,Android Phone,0,13861,35431,9.7
1/14/2019,1/1/2019,KCR,0,13772,34484,9.78
10/8/2018,10/1/2018,iPhone,0,13763,33149,9.54
2/4/2019,2/1/2019,KCR,0,13713,34433,10.07
1/14/2019,1/1/2019,Android Phone,0,13697,34892,9.69
7/2/2018,7/1/2018,iPhone,0,13620,34911,9.57
12/24/2018,12/1/2018,Android Phone,0,13599,34239,9.71
10/22/2018,10/1/2018,iPhone,0,13529,34452,9.53
12/3/2018,12/1/2018,iPhone,0,13470,32503,9.54
10/1/2018,10/1/2018,iPhone,0,13394,31816,9.53
2/11/2019,2/1/2019,KCR,0,13344,32714,10
11/5/2018,11/1/2018,iPhone,0,13266,31671,9.54
1/21/2019,1/1/2019,Android Phone,0,13236,33621,9.67
5/14/2018,5/1/2018,iPhone,0,13116,31211,9.53
12/3/2018,12/1/2018,KCR,0,13113,27881,9.77
12/17/2018,12/1/2018,iPhone,0,13030,32170,9.56
3/4/2019,3/1/2019,iPhone,0,13022,29650,9.55
2/18/2019,2/1/2019,KCR,0,12994,38698,10.28
4/15/2019,4/1/2019,KCR,0,12982,39810,10.07
9/10/2018,9/1/2018,Android Phone,0,12832,32962,9.64
12/31/2018,1/1/2019,Android Phone,0,12809,32959,9.65
7/30/2018,8/1/2018,iPhone,0,12804,29409,9.47
5/21/2018,5/1/2018,KCR,0,12768,20211,9.85
1/7/2019,1/1/2019,KCR,0,12509,25943,9.54
12/10/2018,12/1/2018,iPhone,0,12456,30170,9.52
8/13/2018,8/1/2018,Android Phone,0,12433,31169,9.61
8/20/2018,8/1/2018,Android Phone,0,12409,31959,9.62
5/7/2018,5/1/2018,iPhone,0,12351,29452,9.52
3/11/2019,3/1/2019,KCR,0,12327,34572,9.93
10/15/2018,10/1/2018,KCR,0,12324,21496,9.72
5/20/2019,5/1/2019,KCR,0,12320,35450,10.1
8/27/2018,8/1/2018,iPhone,0,12300,24791,9.45
6/18/2018,6/1/2018,iPhone,0,12282,30558,9.54
5/6/2019,5/1/2019,KCR,0,12234,35574,9.98
6/4/2018,6/1/2018,iPhone,0,12193,28896,9.5
3/4/2019,3/1/2019,KCR,0,12158,36774,9.92
9/17/2018,9/1/2018,Android Phone,0,12153,32588,9.65
11/12/2018,11/1/2018,KCR,0,12059,21585,9.59
2/25/2019,2/1/2019,KCR,0,12012,36008,10.44
7/9/2018,7/1/2018,Android Phone,0,11995,31882,9.69
3/11/2019,3/1/2019,iPhone,0,11975,26554,9.51
5/21/2018,5/1/2018,iPhone,0,11954,28440,9.52
11/19/2018,11/1/2018,iPhone,0,11890,28424,9.47
9/24/2018,9/1/2018,Android Phone,0,11870,31034,9.62
3/18/2019,3/1/2019,iPhone,0,11863,26504,9.51
3/25/2019,3/1/2019,iPhone,0,11841,26268,9.53
7/23/2018,7/1/2018,Android Phone,0,11801,32018,9.64
3/4/2019,3/1/2019,Android Phone,0,11800,29656,9.62
2/18/2019,2/1/2019,Android Phone,0,11797,29837,9.64
6/11/2018,6/1/2018,iPhone,0,11788,29302,9.51
7/16/2018,7/1/2018,Android Phone,0,11772,31734,9.65
4/1/2019,4/1/2019,iPhone,0,11748,26896,9.52
2/4/2019,2/1/2019,Android Phone,0,11730,28971,9.59
10/22/2018,10/1/2018,KCR,0,11729,25056,9.91
12/31/2018,1/1/2019,E-reader,0,11728,24593,9.52
6/11/2018,6/1/2018,Android Phone,0,11709,30308,9.68
4/8/2019,4/1/2019,iPhone,0,11673,26103,9.49
5/27/2019,5/1/2019,KCR,0,11652,35685,10.17
10/15/2018,10/1/2018,Android Phone,0,11630,29229,9.6
